country_id,co2_pc,gdp_pc,urban,life_exp,country_name,region,income_level
JPN,8.05063579850566,35215.003535366,92.0826903891473,84.0412195121951,Japan,East Asia & Pacific,High income
KAZ,12.5643331681924,12879.4275257974,61.7560919499181,74.402,Kazakhstan,Europe & Central Asia,Upper middle income
KEN,0.3843202596187,1942.58802756191,31.6330340816429,63.646,Kenya,Sub-Saharan Africa ,Lower middle income
KGZ,1.44095214620233,2138.22210211478,34.706439175362,72.2487804878049,Kyrgyz Republic,Europe & Central Asia,Lower middle income
KHM,1.08564797278218,2429.74853452838,40.6290788072508,70.668,Cambodia,East Asia & Pacific,Lower middle income
KIR,0.573455066777333,2200.68918614289,61.5244676194408,66.473,Kiribati,East Asia & Pacific,Lower middle income
KNA,2.7909662517644,22576.9248439166,31.7007809622822,72.145,St. Kitts and Nevis,Latin America & Caribbean ,High income
KOR,11.4162657281001,35674.095995632,81.1645551720421,83.4292682926829,"Korea, Rep.",East Asia & Pacific,High income
KWT,22.6972114508944,34091.9714813002,100.0,83.1878048780488,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income
LAO,3.35860711157858,2066.94979776957,38.8070088517156,68.964,Lao PDR,East Asia & Pacific,Lower middle income
LBN,1.87387427333851,3477.72489842684,90.4524074197598,77.817,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
LBR,0.152830013156671,799.194470229642,54.997863482224,62.163,Liberia,Sub-Saharan Africa ,Low income
LBY,8.65140297405067,6026.51518708812,87.8647197919848,69.339,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
LCA,1.65658030510082,13616.6397593734,29.0976313248036,72.697,St. Lucia,Latin America & Caribbean ,Upper middle income
LKA,0.979275763488678,3815.41531767474,20.1455348442463,77.483,Sri Lanka,South Asia,Upper middle income
LSO,0.428947441284169,921.435141557056,42.6781596804785,57.375,Lesotho,Sub-Saharan Africa ,Lower middle income
LTU,4.51994281903548,27983.3658256887,68.575454583199,77.290243902439,Lithuania,Europe & Central Asia,High income
LUX,10.4160977146887,133230.619178899,94.8015300320787,83.309756097561,Luxembourg,Europe & Central Asia,High income
LVA,3.66319656422698,22710.2637544197,68.3586316343061,75.4268292682927,Latvia,Europe & Central Asia,High income
MAC,2.47569239835003,67216.3631112124,100.0,83.1804878048781,"Macao SAR, China",East Asia & Pacific,High income
MAR,1.8573653487086,3813.72607421875,62.673750838878,75.313,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
MDA,3.33935095165033,6799.58594644576,43.0011825561523,71.198,Moldova,Europe & Central Asia,Upper middle income
MDG,0.147269201638214,514.064076551927,31.9799438860946,63.632,Madagascar,Sub-Saharan Africa ,Low income
MDV,3.41106552546227,12587.6126038651,41.5096832933973,81.041,Maldives,South Asia,Upper middle income
MEX,3.66576524934041,13830.843848864,79.4734935748046,75.069,Mexico,Latin America & Caribbean ,Upper middle income
MHL,0.0025755273392227,6799.39217554794,78.3593928884282,66.945,Marshall Islands,East Asia & Pacific,Upper middle income
MKD,4.38791431960329,8674.35846327485,62.2518322545779,75.3160975609756,North Macedonia,Europe & Central Asia,Upper middle income
MLI,0.301946302024471,1042.44223444837,31.0031889023235,60.439,Mali,Sub-Saharan Africa ,Low income
MLT,3.23421022637843,40932.5238774461,95.6272277147965,83.3560975609756,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income
MMR,0.577107115225871,1233.19666209269,30.3820718069466,66.889,Myanmar,East Asia & Pacific,Lower middle income
